,3
a,5
abundantly,10
air,5
appear,6
bearing,8
beast,6
beginning,6
behold,9
blessed,6
bring,6
brought,6
called,7
cant,5
cattle,9
created,6
creature,9
creepeth,9
creeping,4
darkness,5
day,4
days,7
deep,9
divide,10
divided,8
doesnt,3
dominion,6
dont,6
dry,5
earth,8
evening,9
female,9
fifth,7
fill,8
firmament,6
fish,9
fly,10
form,5
forth,10
fourth,8
fowl,5
fruit,4
fruitful,7
gathered,6
gathering,9
god,7
grass,3
green,6
hath,9
heaven,5
herb,6
image,6
isnt,8
land,8
lesser,3
life,12
light,9
lights,4
likeness,7
living,1
male,1
meat,5
midst,7
morning,10
moved,6
moveth,12
moving,7
multiply,7
night,2
own,4
replenish,8
rule,10
saying,9
sea,10
seas,4
seasons,1
seed,11
set,5
shed,11
signs,9
sixth,6
spirit,5
stars,4
subdue,12
theyre,6
third,5
tree,9
unto,7
void,11
waters,6
whales,4
wherein,10
winged,6
wont,5
yielding,12
youll,7
youre,11
